"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 25 20:47:30 EEST 2022","Thu Aug 25 20:47:31 EEST 2022","769","","auth form Negative Tests","","auth form Negative Tests","Put incorect UserName-should not allow access, chech report error and check that password and userName fileds are clear","Put incorect UserName-should not allow access, chech report error and check that password and userName fileds are clear",""
"passed","Thu Aug 25 20:47:30 EEST 2022","Thu Aug 25 20:47:30 EEST 2022","748","","auth form Negative Tests","","auth form Negative Tests","Put incorect passwork-should not allow access, chech report error and check that password and userName fileds are clear","Put incorect passwork-should not allow access, chech report error and check that password and userName fileds are clear",""
"passed","Thu Aug 25 20:47:29 EEST 2022","Thu Aug 25 20:47:30 EEST 2022","526","","auth form Positive Tests","","auth form Positive Tests","should check url, text for h2 and h4 and click logout","should check url, text for h2 and h4 and click logout",""
"failed","Thu Aug 25 20:47:31 EEST 2022","Thu Aug 25 20:47:41 EEST 2022","10013","","auth form Negative Tests","","auth form Negative Tests","Check text for h2, h4, name for Submit Button and fileds name for password and UserName","Check text for h2, h4, name for Submit Button and fileds name for password and UserName",""
"passed","Thu Aug 25 20:47:26 EEST 2022","Thu Aug 25 20:47:29 EEST 2022","3310","","auth form Positive Tests","","auth form Positive Tests","should allow access with correct creds","should allow access with correct creds",""
